Name,Price USD,Quantity,Link
E28-2G4M27S SX1280 module,"6,2",1,https://item.taobao.com/item.htm?abbucket=3&id=880953544384&mi_id=0000eEtZr5o7r3_tINGdKxGmsa_6DuiFb-yk1B-qTpGD1vU&ns=1&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22bbc0e6ac076ece7099af8d751f232f64%22%7D&xxc=taobaoSearch
ESP32-S3N16R8,"2,22",1,https://item.taobao.com/item.htm?abbucket=3&id=872221321968&mi_id=0000XYbUkJ3ztHQrW5m0_RTpN9RXlYjHuRufz9YamWYTHCE&ns=1&priceTId=2100c80517841846825488054e0b03&spm=a21n57.1.hoverItem.15&utparam=%7B%22aplus_abtest%22%3A%225ff4bef52509ac252b82225ba8b43271%22%7D&xxc=taobaoSearch
MS2107,6,1,https://item.taobao.com/item.htm?abbucket=3&id=665313273000&mi_id=0000CIWQ0kQxQHAjoROM0vWyjx26XRs5Ou4JjI60WfXvKD0&ns=1&priceTId=2101286017842020902891333e0a7d&skuId=5074427578462&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22933a7f79590eec46bebd1b61d88c8a9a%22%7D&xxc=taobaoSearch
2.4 GHz antenna ,"0,6",1,https://detail.tmall.com/item.htm?abbucket=3&id=624964877314&mi_id=0000JJsf8fDoP6hwTiODQDEZsq0IKrNZWwnbV1hJ0wU_1cU&ns=1&priceTId=2100c90117841567917754839e0a27&skuId=4541377657696&spm=a21n57.1.hoverItem.24&utparam=%7B%22aplus_abtest%22%3A%227e7f1b35ce8a7b130d3ace31a661069b%22%7D&xxc=taobaoSearch
Joystick ,"0,6",2,https://detail.tmall.com/item.htm?abbucket=3&id=551127183441&mi_id=0000Ftja2cuWO7id0PzdZcx6UsEQj-XHdnJxrwUY2IHJB9g&ns=1&priceTId=2100c82317841694538464941e0a2e&skuId=4705838048545&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%228d30e471fb107dcc890f8edd818991c3%22%7D&xxc=taobaoSearch
TP4056 chip,"0,07",1,https://item.taobao.com/item.htm?id=981177601023&ali_refid=a3_430582_1006:1151346250:H:ImcZYetBaqDC4gs%2F444h0w%3D%3D:dc242003f40c2223cdb11a88cb4256db&ali_trackid=282_dc242003f40c2223cdb11a88cb4256db&spm=a21n57.1.hoverItem.1&xxc=ad_ztc&utparam=%7B%22aplus_abtest%22%3A%22b12a1e92677ae6a3439d0b51c901cbc3%22%7D&skuId=null&mi_id=0000t2Z3B5z-wK8841z78vqP7l045akoigWif7pmKaWXiAs&mm_sceneid=1_0_56783814_0
DW01A chip,"0,03",1,https://detail.tmall.com/item.htm?abbucket=3&id=762867868512&mi_id=0000R1qie-cDv3eyBV4NdJJmGQ5q5NOwd6KAUOigsaVqFIU&ns=1&skuId=5253067080369&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%229db35eede1f50e96a533972e4de8e26b%22%7D&xxc=taobaoSearch
FS8205A chip,"0,1",1,https://item.taobao.com/item.htm?ali_refid=a3_430582_1006%3A1121937966%3AH%3AcUAVMUqeG8Ie%2BFCToUjwBg%3D%3D%3A7bfe62ec76a93e8fbe2256e592906e16&ali_trackid=282_7bfe62ec76a93e8fbe2256e592906e16&id=1057494339300&mi_id=0000lmSPb5VeesJjcG1AGDTeYARmVZIZYzVI0CukmvsJgfg&mm_sceneid=1_0_110440841_0&priceTId=2100cff617841704151881305e0ce1&skuId=6102949729395&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%228f81d02d05c70d3e0f9803b11ac5baaa%22%7D&xxc=ad_ztc
MT3608 5V converter,"0,037",1,https://item.taobao.com/item.htm?ali_refid=a3_430582_1006%3A1679758243%3AH%3AMSKIrToaTA4Tltp628G5Cw%3D%3D%3Af4fc369ab19dd77611957b498ca91023&ali_trackid=282_f4fc369ab19dd77611957b498ca91023&id=1023817663478&mi_id=0000b6cnxm2ZoD7-I0xzfGRl-A692Zc3dIQmaKdmmAYa6sc&mm_sceneid=1_0_3261656360_0&priceTId=2100c88d17841742422367696e0a28&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22b864d83dd72765cad83732d1ca203c56%22%7D&xxc=ad_ztc
AMS1117 3.3V converter,"0,2",1,https://www.lcsc.com/product-detail/C6186.html?s_z=n_q_AMS1117&spm=wm.fly.bg.0.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1BWVFJUR1hcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktQQlBADxALGw%3D%3D
WS2812,"0,74",2,https://item.taobao.com/item.htm?abbucket=3&id=522197656009&mi_id=0000jtblvO_r9kNF89gjEwrPg0bczykJ85nySJ3f1M69Occ&ns=1&priceTId=2100c91317841751718978125e0a2c&spm=a21n57.1.hoverItem.4&utparam=%7B%22aplus_abtest%22%3A%22bd07f2d4785677374a6512f1470df103%22%7D&xxc=taobaoSearch&skuId=4845796121312
Tactile Button,"0,2",2,https://www.lcsc.com/product-detail/C48677982.html?s_z=n_q_t_button&spm=wm.fly.bg.0.stp___wm.ssy.tc.1.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1BZU1xXT1NfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXQ1JYSQwSGg0%3D
ESP32 C3,"1,2",1,https://www.lcsc.com/product-detail/C2838500.html?s_z=n_q_p_ESP32%2520C3&spm=wm.ssy.bg.0.stp&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NfUl1WQlhcUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
Battery Holder,"1,43",1,https://www.lcsc.com/product-detail/C2988620.html?s_z=n_q_t_18650%2520&spm=wm.fly.bg.0.stp___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbV1xQQFRbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXQ1FaSQwSGg0%3D
2400 Battery 18650,"3,84",1,https://item.taobao.com/item.htm?abbucket=3&id=750556365338&mi_id=00006FSFffR0ZtCoqiPW8B26wVUqU_jfCicpfiOqaKKpXUw&ns=1&spm=a21n57.1.hoverItem.9&utparam=%7B%22aplus_abtest%22%3A%22b7407b88966aa4a5fc54ce84dbbf21b5%22%7D&xxc=taobaoSearch
THT LEDs 3mm,"0,6",1,https://item.taobao.com/item.htm?abbucket=3&id=674866929367&mi_id=0000bNeWsbqDHXtNaPV3CUgLfeybR0f0Dq3laCgA6hQzJ14&ns=1&priceTId=212e385a17842533291681983e0c58&skuId=5029993387530&spm=a21n57.1.hoverItem.10&utparam=%7B%22aplus_abtest%22%3A%22c952312c2104ed148cf48aed69a5b08f%22%7D&xxc=taobaoSearch
SS34 Schottky ,"0,1",1,https://www.lcsc.com/product-detail/C8678.html?s_z=n_q_x_SS34%2520schottky&spm=wm.ssy.em.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbVFFWQFBdUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlBADxALGw%3D%3D
22uF capacitor,"0,14",3,https://jlcpcb.com/partdetail/6131-CL31A226KPHNNNE/C5672
47uF capacitor,"0,2",1,https://jlcpcb.com/partdetail/17464-CL21A476MQYNNNE/C16780
"0,1uF capacitor","0,02",2,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
4.7uH inductor,"0,62",1,https://www.lcsc.com/product-detail/C86090.html?spm=wm.fly.bg.0.stp___wm.fly.tp.3.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
1K resistor,"0,62",3,https://www.lcsc.com/product-detail/C106235.html?spm=wm.fly.bg.2.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
1.2K resistor,"0,4",1,https://www.lcsc.com/product-detail/C114605.html?spm=wm.fly.bg.0.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
100 resistor,"0,4",1,https://www.lcsc.com/product-detail/C122970.html?spm=wm.fly.bg.2.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
4.7K resistor,"0,4",2,https://www.lcsc.com/product-detail/C2907034.html?spm=wm.fly.bg.1.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
0 resistor,"0,47",1,https://www.lcsc.com/product-detail/C95177.html?spm=wm.fly.bg.0.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
110k resistor,"0,27",1,https://www.lcsc.com/product-detail/C2906984.html?spm=wm.fly.bg.1.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
15k resistor,"0,26",1,https://www.lcsc.com/product-detail/C2906995.html?spm=wm.fly.bg.0.stp___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
,"27,967",,